896024
S,19600,41896004,41896006,41896024,41896196
EC,2654,61402,   0,64056
ER,64036,  11,   8
EC,2679,62376,   0,65056
ER,65036,  11,   8
EC,2704,63352,   0,66057
ER,66036,  11,   8
encrypt, 43653252,43653272
S,19600,43653252,43653252,43653272,43653444
EC,2721,64336,   0,67058
ER,67022,  27,   8
[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.1[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  24, 996,   0,1021
ER,1012,   0,   8
decrypt, 1195126,1195144
encrypt, 1195470,1195490
htfin:1195648
#,#decrypt, 1201270,1201288
encrypt, 1201442,1201454
p,39020,1201440,1201442,1201454,1201614
EC,  33,1988,   0,2022
ER,2010,   3,   8
EC,  37,2985,   0,3022
ER,3009,   4,   8
EC,  41,3982,   0,4023
ER,4010,   4,   8
EC,  45,4978,   0,5023
ER,5010,   4,   8
EC,  49,5974,   0,6024
ER,6011,   4,   8
EC,  53,6971,   0,7025
ER,7011,   4,   8
EC,  58,7966,   0,8025
ER,8012,   5,   8
EC,  62,8963,   0,9025
ER,9012,   5,   8
EC,  67,9959,   0,10026
ER,10013,   5,   8
EC,  71,10956,   0,11027
ER,11013,   5,   8
EC,  75,11952,   0,12027
ER,12014,   5,   8
EC,  78,12949,   0,13028
ER,13014,   5,   8
EC,  83,13945,   0,14028
ER,14014,   5,   8
EC,  87,14941,   0,15029
ER,15015,   5,   8
EC,  92,15937,   0,16029
ER,16015,   5,   8
EC,  95,16934,   0,17030
ER,17016,   5,   8
EC, 100,17931,   0,18031
ER,18016,   5,   8
EC, 103,18928,   0,19031
ER,19017,   5,   8
EC, 109,19923,   0,20032
ER,20017,   5,   8
EC, 112,20920,   0,21032
ER,21018,   6,   8
EC, 116,21916,   0,22033
ER,22018,   6,   8
EC, 119,22913,   0,23033
ER,23019,   6,   8
EC, 123,23910,   0,24034
ER,24019,   6,   8
EC, 128,24906,   0,25034
ER,25020,   6,   8
EC, 132,25903,   0,26035
ER,26020,   6,   8
EC, 135,26899,   0,27035
ER,27021,   6,   8
EC, 141,27895,   0,28036
ER,28021,   6,   8
EC, 144,28892,   0,29037
ER,29022,   6,   8
EC, 150,29887,   0,30037
ER,30022,   6,   8
EC, 156,30881,   0,31038
ER,31023,   6,   8
decrypt, 20866338,20866358
llego jejeje
encrypt, 20866594,20866608
n,39026,20866594,20866594,20866608,20866778
encrypt, 20867042,20867060
S,10671,20867040,20867042,20867060,20867228
EC, 162,31876,   0,32038
ER,32023,   7,   8
encrypt, 21151042,21151060
S,10671,21151040,21151042,21151060,21151232
EC, 167,32871,   0,33039
ER,33023,   7,   8
encrypt, 21718296,21718314
S,10671,21718294,21718296,21718314,21718486
EC, 172,33867,   0,34039
ER,34023,   8,   8
encrypt, 22851942,22851960
S,10671,22851940,22851942,22851960,22852132
EC, 178,34861,   0,35040
ER,35023,   8,   8
EC, 182,35858,   0,36041
ER,36024,   8,   8
EC, 185,36855,   0,37041
ER,37024,   8,   8
EC, 189,37852,   0,38042
ER,38024,   8,   8
encrypt, 25118460,25118478
S,10671,25118458,25118460,25118478,25118650
EC, 194,38848,   0,39042
ER,39025,   9,   8
EC, 198,39844,   0,40043
ER,40025,   9,   8
EC, 204,40839,   0,41043
ER,41025,   9,   8
EC, 208,41836,   0,42044
ER,42026,   9,   8
EC, 212,42832,   0,43044
ER,43027,   9,   8
EC, 217,43827,   0,44045
ER,44027,   9,   8
EC, 221,44824,   0,45045
ER,45027,   9,   8
EC, 225,45821,   0,46046
ER,46028,   9,   8
EC, 229,46817,   0,47047
ER,47028,   9,   8
EC, 233,47813,   0,48047
ER,48029,   9,   8
EC, 238,48809,   0,49048
ER,49030,   9,   8
EC, 243,49805,   0,50049
ER,50030,   9,   8
EC, 247,50801,   0,51049
ER,51031,   9,   8
EC, 251,51798,   0,52049
ER,52031,   9,   8
EC, 256,52793,   0,53050
ER,53031,  10,   8
EC, 260,53790,   0,54051
ER,54032,  10,   8
EC, 264,54786,   0,55051
ER,55032,  10,   8
EC, 268,55783,   0,56052
ER,56033,  10,   8
EC, 272,56779,   0,57052
ER,57034,  10,   8
EC, 276,57776,   0,58053
ER,58034,  10,   8
EC, 285,58768,   0,59053
ER,59034,  10,   8
