TT,07,28,21,16,37,11,864427
496,60559,   0,63055
ER,63040,   6,   8
EC,2504,61551,   0,64056
ER,64041,   6,   8
EC,2513,62543,   0,65056
ER,65041,   6,   8
EC,2521,63535,   0,66057
ER,66042,   6,   8
EC,2530,64527,   0,67058
ER,67042,   6,   8
EC,2538,65519,   0,68058
ER,68043,   6,   8
[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Maù[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  24, 997,   0,1021
ER,1012,   1,   8
p,59902,928652,928662
EC,  29,1992,   0,2022
ER,2011,   2,   8
EC,  37,2985,   0,3023
ER,3012,   2,   8
EC,  45,3978,   0,4023
ER,4012,   3,   8
EC,  49,4974,   0,5024
ER,5012,   3,   8
EC,  53,5971,   0,6024
ER,6013,   3,   8
EC,  56,6968,   0,7025
ER,7013,   3,   8
EC,  61,7964,   0,8025
ER,8013,   3,   8
EC,  66,8959,   0,9026
ER,9014,   3,   8
EC,  75,9951,   0,10027
ER,10014,   3,   8
EC,  80,10946,   0,11027
ER,11015,   3,   8
EC,  86,11941,   0,12028
ER,12015,   4,   8
EC,  91,12937,   0,13028
ER,13016,   4,   8
EC,  94,13934,   0,14029
ER,14016,   4,   8
EC,  98,14931,   0,15029
ER,15016,   4,   8
EC, 101,15928,   0,16030
ER,16017,   4,   8
EC, 105,16925,   0,17030
ER,17017,   4,   8
EC, 109,17921,   0,18031
ER,18018,   4,   8
EC, 114,18916,   0,19031
ER,19018,   4,   8
EC, 120,19911,   0,20032
ER,20019,   4,   8
EC, 126,20907,   0,21033
ER,21019,   4,   8
EC, 130,21903,   0,22033
ER,22020,   4,   8
EC, 135,22898,   0,23033
ER,23020,   4,   8
EC, 139,23894,   0,24034
ER,24020,   5,   8
EC, 146,24888,   0,25035
ER,25021,   5,   8
EC, 153,25881,   0,26035
ER,26022,   5,   8
EC, 158,26877,   0,27036
ER,27022,   5,   8
EC, 163,27873,   0,28036
ER,28023,   5,   8
EC, 168,28869,   0,29037
ER,29023,   5,   8
EC, 175,29861,   0,30037
ER,30023,   5,   8
EC, 180,30857,   0,31038
ER,31024,   5,   8
EC, 185,31853,   0,32038
ER,32024,   5,   8
EC, 189,32849,   0,33038
ER,33024,   5,   8
EC, 194,33846,   0,34040
ER,34025,   5,   8
EC, 199,34840,   0,35040
ER,35026,   5,   8
EC, 204,35836,   0,36041
ER,36027,   5,   8
EC, 211,36830,   0,37041
ER,37027,   5,   8
EC, 215,37826,   0,38041
ER,38027,   5,   8
EC, 219,38822,   0,39042
ER,39028,   5,   8
EC, 223,39819,   0,40043
ER,40028,   6,   8
EC, 227,40816,   0,41044
ER,41029,   6,   8
EC, 231,41812,   0,42044
ER,42029,   6,   8
EC, 234,42809,   0,43044
ER,43029,   6,   8
EC, 237,43807,   0,44045
ER,44030,   6,   8
EC, 239,44805,   0,45045
ER,45030,   6,   8
EC, 242,45804,   0,46046
ER,46031,   6,   8
EC, 245,46802,   0,47047
ER,47032,   6,   8
EC, 248,47798,   0,48047
ER,48032,   6,   8
EC, 251,48796,   0,49047
ER,49032,   6,   8
EC, 254,49794,   0,50049
ER,50033,   6,   8
EC, 256,50792,   0,51049
ER,51033,   6,   8
EC, 259,51790,   0,52049
ER,52033,   7,   8
EC, 262,52787,   0,53050
ER,53034,   7,   8
EC, 265,53785,   0,54050
ER,54034,   7,   8
EC, 268,54782,   0,55051
ER,55035,   7,   8
EC, 270,55781,   0,56051
ER,56036,   7,   8
EC, 273,56779,   0,57052
ER,57036,   7,   8
EC, 275,57777,   0,58052
ER,58037,   7,   8
EC, 278,58775,   0,59053
ER,59037,   7,   8
