92,43470504
S,51131,43470490,0,0,43470676
EC, 454,66603,   0,67057
ER,66992,  57,   8
[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main     [INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  23, 998,   0,1021
ER,1011,   1,   8
decrypt, 755008,755020
encrypt, 755336,755348
htfin:755496
#,#decrypt, 758654,758668
encrypt, 758808,758818
p,3072,758806,0,0,758966
EC,  29,1993,   0,2022
ER,2010,   3,   8
EC,  49,2973,   0,3022
ER,2977,  36,   8
EC,  76,3946,   0,4023
ER,3933,  81,   8
EC, 103,4920,   0,5023
ER,4885, 129,   8
EC, 131,5892,   0,6024
ER,5840, 175,   8
EC, 159,6865,   0,7024
ER,6796, 220,   8
EC, 198,7826,   0,8025
ER,7751, 264,   8
EC, 224,8801,   0,9025
ER,8710, 306,   8
EC, 253,9772,   0,10026
ER,9661, 356,   8
EC, 284,10742,   0,11027
ER,10604, 414,   8
EC, 316,11711,   0,12027
ER,11552, 466,   8
EC, 342,12685,   0,13028
ER,12509, 510,   8
EC, 369,13658,   0,14028
ER,13465, 554,   8
EC, 396,14632,   0,15029
ER,14420, 600,   8
EC, 423,15606,   0,16029
ER,15376, 644,   8
EC, 457,16573,   0,17030
ER,16310, 711,   8
EC, 487,17543,   0,18030
ER,17267, 755,   8
EC, 515,18516,   0,19031
ER,18223, 800,   8
EC, 541,19490,   0,20031
ER,19179, 844,   8
EC, 561,20470,   0,21032
ER,20150, 873,   8
EC, 567,21465,   0,22033
ER,21151, 873,   8
EC, 574,22458,   0,23033
ER,22151, 873,   8
EC, 580,23453,   0,24034
ER,23152, 873,   8
EC, 585,24449,   0,25034
ER,24152, 873,   8
EC, 593,25442,   0,26035
ER,25153, 873,   8
EC, 602,26433,   0,27036
ER,26154, 873,   8
EC, 609,27426,   0,28036
ER,27154, 873,   8
EC, 613,28423,   0,29036
ER,28154, 874,   8
EC, 621,29416,   0,30037
ER,29155, 874,   8
EC, 627,30411,   0,31038
ER,30155, 874,   8
decrypt, 20431860,20431872
llego jejeje
encrypt, 20432110,20432120
n,3080,20432110,0,0,20432292
encrypt, 20432470,20432482
S,47696,20432468,0,0,20432652
encrypt, 20714350,20714362
S,47696,20714348,0,0,20714536
EC, 637,31401,   0,32039
ER,31155, 875,   8
encrypt, 21276946,21276958
S,47696,21276944,0,0,21277130
EC, 643,32395,   0,33039
ER,32155, 875,   8
EC, 650,33389,   0,34040
ER,33156, 875,   8
encrypt, 22401912,22401924
S,47696,22401910,0,0,22402096
EC, 659,34380,   0,35040
ER,34156, 875,   8
EC, 665,35375,   0,36041
ER,35156, 876,   8
EC, 671,36370,   0,37041
ER,36157, 876,   8
encrypt, 24650850,24650862
S,47696,24650848,0,0,24651034
EC, 677,37364,   0,38042
ER,37157, 876,   8
EC, 684,38358,   0,39042
ER,38157, 876,   8
EC, 692,39350,   0,40043
ER,39158, 876,   8
EC, 696,40346,   0,41043
ER,40158, 876,   8
EC, 702,41342,   0,42044
ER,41159, 876,   8
EC, 708,42336,   0,43045
ER,42160, 876,   8
EC, 714,43330,   0,44045
ER,43160, 876,   8
EC, 721,44324,   0,45046
ER,44161, 876,   8
EC, 726,45320,   0,46046
ER,45161, 876,   8
EC, 733,46313,   0,47047
ER,46162, 876,   8
EC, 744,47303,   0,48047
ER,47163, 876,   8
EC, 750,48297,   0,49048
ER,48163, 876,   8
EC, 757,49290,   0,50048
ER,49163, 876,   8
EC, 764,50285,   0,51049
ER,50164, 876,   8
EC, 769,51280,   0,52049
ER,51164, 876,   8
EC, 775,52275,   0,53050
ER,52165, 876,   8
EC, 780,53269,   0,54050
ER,53165, 876,   8
EC, 788,54263,   0,55051
ER,54166, 876,   8
EC, 793,55258,   0,56051
ER,55166, 876,   8
EC, 801,56251,   0,57052
ER,56167, 876,   8
EC, 806,57246,   0,58052
ER,57168, 876,   8
EC, 813,58240,   0,59053
ER,58168, 876,   8
