16
encrypt, 40246294,40246312
S,610,40246292,40246294,40246312,40246484
EC,1271,60784,   0,62055
ER,59634,2412,   8
encrypt, 40665098,40665116
S,610,40665096,40665098,40665116,40665288
EC,1294,61760,   0,63055
ER,60584,2462,   8
encrypt, 41501196,41501214
S,610,41501194,41501196,41501214,41501386
EC,1317,62739,   0,64056
ER,61542,2505,   8
EC,1339,63717,   0,65056
ER,62498,2550,   8
encrypt, 43172360,43172378
S,610,43172358,43172360,43172378,43172550
EC,1361,64695,   0,66057
ER,63455,2593,   8
EC,1382,65675,   0,67057
ER,64411,2638,   8
[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: [INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
decrypt, 662630,662648
encrypt, 662964,662982
htfin:663130
#,#decrypt, 665310,665328
encrypt, 665470,665482
p,37041,665468,665470,665482,665630
EC,  26, 994,   0,1021
ER,1009,   3,   8
EC,  29,1992,   0,2022
ER,2009,   4,   8
EC,  32,2990,   0,3023
ER,3010,   4,   8
EC,  35,3988,   0,4023
ER,4010,   4,   8
EC,  37,4986,   0,5023
ER,5010,   4,   8
EC,  40,5984,   0,6024
ER,6011,   4,   8
EC,  63,6961,   0,7024
ER,6972,  43,   8
EC,  88,7936,   0,8025
ER,7930,  86,   8
EC, 113,8912,   0,9025
ER,8891, 126,   8
EC, 138,9888,   0,10026
ER,9851, 166,   8
EC, 163,10863,   0,11026
ER,10809, 208,   8
EC, 188,11839,   0,12028
ER,11770, 249,   8
EC, 214,12814,   0,13028
ER,12727, 291,   8
EC, 238,13791,   0,14029
ER,13689, 331,   8
EC, 264,14766,   0,15030
ER,14648, 373,   8
EC, 289,15740,   0,16029
ER,15607, 413,   8
EC, 314,16716,   0,17030
ER,16567, 453,   8
EC, 338,17691,   0,18030
ER,17527, 495,   8
EC, 363,18667,   0,19031
ER,18486, 536,   8
EC, 389,19642,   0,20031
ER,19443, 580,   8
EC, 414,20619,   0,21033
ER,20403, 621,   8
EC, 439,21593,   0,22032
ER,21364, 660,   8
EC, 463,22569,   0,23033
ER,22323, 701,   8
EC, 488,23545,   0,24034
ER,23283, 741,   8
EC, 513,24520,   0,25034
ER,24242, 784,   8
EC, 538,25497,   0,26035
ER,25203, 823,   8
EC, 563,26472,   0,27035
ER,26162, 865,   8
EC, 588,27447,   0,28036
ER,27121, 906,   8
EC, 613,28423,   0,29036
ER,28080, 947,   8
EC, 638,29398,   0,30037
ER,29038, 990,   8
decrypt, 20329756,20329774
llego jejeje
encrypt, 20330012,20330026
n,37049,20330010,20330012,20330026,20330196
encrypt, 20330458,20330476
S,49425,20330458,20330458,20330476,20330646
EC, 666,30372,   0,31038
ER,29999,1030,   8
encrypt, 20611606,20611624
S,49425,20611604,20611606,20611624,20611796
EC, 693,31346,   0,32039
ER,30956,1075,   8
encrypt, 21173270,21173288
S,49425,21173268,21173270,21173288,21173460
EC, 719,32319,   0,33039
ER,31915,1115,   8
encrypt, 22297958,22297976
S,49425,22297956,22297958,22297976,22298146
EC, 746,33293,   0,34039
ER,32873,1157,   8
EC, 771,34269,   0,35041
ER,33835,1197,   8
EC, 797,35243,   0,36040
ER,34795,1237,   8
EC, 823,36217,   0,37041
ER,35752,1279,   8
encrypt, 24546320,24546338
S,49425,24546318,24546320,24546338,24546510
EC, 852,37189,   0,38041
ER,36711,1321,   8
EC, 879,38162,   0,39042
ER,37670,1363,   8
EC, 907,39135,   0,40043
ER,38631,1403,   8
EC, 935,40107,   0,41043
ER,39589,1445,   8
EC, 973,41070,   0,42044
ER,40543,1491,   8
EC,1000,42043,   0,43044
ER,41502,1533,   8
EC,1026,43018,   0,44045
ER,42461,1574,   8
EC,1052,43993,   0,45045
ER,43417,1619,   8
EC,1085,44960,   0,46046
ER,44377,1660,   8
EC,1113,45933,   0,47046
ER,45335,1703,   8
EC,1138,46908,   0,48047
ER,46294,1744,   8
EC,1163,47884,   0,49047
ER,47254,1785,   8
EC,1210,48837,   0,50048
ER,48213,1826,   8
EC,1235,49813,   0,51048
ER,49173,1867,   8
EC,1261,50788,   0,52049
ER,50131,1909,   8
EC,1286,51764,   0,53050
ER,51092,1949,   8
EC,1312,52738,   0,54050
ER,52048,1993,   8
EC,1336,53714,   0,55051
ER,53009,2032,   8
EC,1362,54689,   0,56051
ER,53967,2075,   8
EC,1388,55664,   0,57052
ER,54926,2117,   8
EC,1414,56638,   0,58052
ER,55884,2160,   8
EC,1439,57613,   0,59053
ER,56842,2202,   8
