TT,07,27,21,15,51,31,820731
005,39532038,39532050
o,28599,39532556,39532566
o,28600,39534096,39534106
o,28601,39535636,39535646
o,28602,39537178,39537188
o,28603,39538718,39538730
o,28604,39540258,39540270
o,28605,39541798,39541808
o,28606,39543340,39543350
o,28607,39544956,[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56581
[INFO: Main      ] Link-layer address: 0012.4b00.0a55.dd05
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:a55:dd05
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  23, 997,   0,1021
ER,1012,   0,   8
o,43301,1219494,1219506
o,43302,1221852,1221864
o,24305,1224284,1224296
o,24306,1230862,1230874
o,24307,1237524,1237536
o,24308,1244186,1244198
o,24309,1250848,1250860
o,24310,1257510,1257522
o,24311,1264172,1264184
o,24312,1270834,1270846
o,24313,1277496,1277508
o,24314,1284160,1284172
o,24315,1290820,1290832
o,24316,1297482,1297494
o,24317,1304186,1304200
o,24318,1310732,1310744
,24319,1317396,1317408
o,24320,1324058,1324070
EC,  34,1987,   0,2022
ER,2006,   7,   8
o,24321,1330722,1330736
o,24322,1337384,1337396
o,24323,1344046,1344058
o,24324,1350710,1350722
o,24325,1357372,1357384
o,24326,1364034,1364046
o,24327,1370696,1370708
o,24328,1377358,1377370
o,24329,1384022,1384034
o,24330,1390684,1390696
o,24331,1397348,1397360
o,24332,1404010,1404022
o,24333,1410672,1410684
o,24334,1417336,1417348
o,24335,1424406,1424418
o,24336,1431068,1431080
o,24337,1437730,1437742
o,24338,1444392,1444404
o,24339,1451054,1451066
o,24340,1457716,1457728
o,24341,1464378,1464390
o,24342,1471040,1471052
o,24343,1477644,1477656
o,24344,1484308,1484320
o,24345,1491156,1491168
o,24346,1497818,1497830
o,24347,1504268,1504280
o,24348,1510930,1510942
o,24349,1517592,1517604
o,24350,1524254,1524266
o,24351,1530916,1530928
o,24352,1537578,1537590
o,24353,1544242,1544254
o,24354,1550906,1550918
o,24355,1557566,1557578
o,24356,1564228,1564240
o,24357,1570890,1570902
o,24358,1577484,1577496
o,24359,1584146,1584158
o,24360,1590808,1590820
o,24361,1597470,1597482
o,24362,1604132,1604144
o,24363,1610794,1610806
o,24364,1617458,1617470
o,24365,1624118,1624132
o,24366,1630780,1630792
o,24367,1637442,1637454
o,24368,1644104,1644116
o,24369,1650766,1650778
o,24370,1657428,1657440
o,24371,1664090,1664102
o,24372,1670668,1670680
o,24373,1677328,1677340
o,24374,1683992,1684004
o,24375,1690652,1690664
o,24376,1697314,1697326
o,24377,1703976,1703988
o,24378,1710638,1710650
o,24379,1717300,1717312
o,24380,1723960,1723972
o,24381,1730622,1730634
o,24382,1737282,1737294
o,24383,1743944,1743956
o,24384,1750608,1750620
o,24385,1757270,1757282
o,24386,1763932,1763944
o,24387,1770594,1770606
o,24388,1777256,1777268
o,24389,1783918,1783930
o,24390,1790580,1790592
o,24391,1797242,1797254
o,24392,1803904,1803918
o,24393,1810444,1810456
o,24394,1817108,1817120
o,24395,1823766,1823778
o,24396,1830428,1830440
o,24397,1837090,1837102
o,24398,1843752,1843764
o,24399,1850414,1850426
o,24400,1857074,1857086
o,24401,1863802,1863814
o,24402,1870352,1870364
o,24403,1877014,1877026
o,24404,1883678,1883690
o,24405,1891028,1891040
o,24406,1897690,1897702
o,24407,1904352,1904364
o,24408,1910796,1910808
o,24409,1917458,1917470
o,24410,1924118,1924130
o,24411,1930780,1930792
o,24412,1937440,1937452
o,24413,1944102,1944114
o,24414,1950766,1950778
o,24415,1957426,1957438
o,24416,1964088,1964100
o,24417,1970750,1970762
o,24418,1977414,1977426
o,24419,1984076,1984088
EC,  76,2946,   0,3022
ER,2978,  36,   8
o,24420,1990740,1990752
o,24421,1997402,1997414
o,24422,2004064,2004076
o,24423,2010726,2010738
o,24424,2017390,2017402
o,24425,2024052,2024064
o,24426,2030712,2030724
o,24427,2037374,2037386
o,24428,2044036,2044048
o,24429,2050698,2050710
o,24430,2057360,2057372
o,24431,2064022,2064034
o,24432,2070540,2070552
o,24433,2077202,2077214
o,24434,2083866,2083878
o,24435,2090524,2090536
o,24436,2097186,2097198
o,24437,2103848,2103860
o,24438,2110510,2110522
o,24439,2117170,2117182
o,24440,2123832,2123844
o,24441,2130494,2130506
o,24442,2137156,2137168
o,24443,2143818,2143830
o,24444,2150482,2150494
o,24445,2157070,2157082
o,24446,2163732,2163744
o,24447,2170394,2170406
o,24448,2177056,2177068
o,24449,2183716,2183728
o,24450,2190378,2190390
o,24451,2197040,2197052
o,24452,2203702,2203714
o,24453,2210364,2210376
o,24454,2217028,2217040
o,24455,2223688,2223700
o,24456,2230350,2230362
o,24457,2237012,2237024
o,24458,2243674,2243686
o,24459,2250336,2250348
o,24460,2256998,2257010
o,24461,2263660,2263672
o,24462,2270322,2270334
o,24463,2276984,2276996
o,24464,2283650,2283662
o,24465,2290312,2290326
o,24466,2296974,2296986
o,24467,2303636,2303648
o,24468,2310298,2310310
o,24469,2316960,2316972
o,24470,2323622,2323634
o,24471,2330284,2330296
o,24472,2336946,2336958
o,24473,2343608,2343620
o,24474,2350272,2350284
o,24475,2356932,2356944
o,24476,2363594,2363606
o,24477,2370256,2370268
o,24478,2376918,2376930
o,24479,2383372,2383384
o,24480,2390034,2390046
o,24481,2396696,2396708
o,24482,2403358,2403370
o,24483,2410020,2410032
o,24484,2416684,2416696
o,24485,2423346,2423358
o,24486,2430008,2430020
o,24487,2436670,2436682
o,24488,2443330,2443342
o,24489,2449992,2450004
o,24490,2456654,2456666
o,24491,2463316,2463328
o,24492,2469900,2469912
o,24493,2476560,2476572
o,24494,2483224,2483236
o,24495,2489884,2489896
o,24496,2496546,2496558
o,24497,2503208,2503220
o,24498,2509870,2509882
o,24499,2516532,2516544
o,24500,2523194,2523206
o,24501,2529856,2529868
o,24502,2536518,2536530
o,24503,2543180,2543192
o,24504,2549844,2549856
o,24505,2556506,2556518
o,24506,2563084,2563096
o,24507,2569746,2569758
o,24508,2576408,2576420
o,24509,2583070,2583082
o,24510,2589732,2589744
o,24511,2596394,2596406
o,24512,2603056,2603068
o,24513,2609716,2609728
o,24514,2616380,2616392
o,24515,2623040,2623052
o,24516,2629704,2629716
o,24517,2636366,2636378
EC, 118,3905,   0,4023
ER,3950,  64,   8
o,24518,2643030,2643042
o,24519,2649612,2649624
o,24520,2656274,2656286
o,24521,2662936,2662948
o,24522,2669596,2669608
o,24523,2676256,2676268
o,24524,2682920,2682932
o,24525,2689580,2689592
o,24526,2696242,2696254
o,24527,2702904,2702916
o,24528,2709566,2709578
o,24529,2716228,2716240
