TT,07,27,21,14,19,16,437749
64056
ER,64035,  12,   8
EC, 520,64536,   0,65057
ER,65018,  29,   8
EC, 544,65513,   0,66057
ER,65975,  73,   8
encrypt, 43529226,43529238
S,51130,43529224,0,0,43529408
EC, 566,66491,   0,67057
ER,66932, 116,   8
EC, 590,67468,   0,68058
ER,67886, 163,   8
[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 8[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  23, 997,   0,1021
ER,1011,   1,   8
decrypt, 860590,860602
encrypt, 860918,860928
htfin:861076
#,#decrypt, 865756,865768
encrypt, 865908,865918
p,56511,865906,0,0,866066
EC,  29,1992,   0,2022
ER,2009,   4,   8
EC,  36,2985,   0,3022
ER,2998,  16,   8
EC,  51,3971,   0,4023
ER,3966,  48,   8
EC,  66,4957,   0,5024
ER,4936,  79,   8
EC,  81,5942,   0,6024
ER,5904, 111,   8
EC,  99,6925,   0,7024
ER,6873, 143,   8
EC, 124,7900,   0,8025
ER,7833, 183,   8
EC, 149,8876,   0,9026
ER,8792, 225,   8
EC, 174,9851,   0,10026
ER,9750, 267,   8
EC, 199,10827,   0,11027
ER,10709, 309,   8
EC, 224,11804,   0,12028
ER,11670, 349,   8
EC, 249,12778,   0,13028
ER,12629, 390,   8
EC, 275,13753,   0,14028
ER,13588, 432,   8
EC, 299,14730,   0,15029
ER,14548, 473,   8
EC, 325,15705,   0,16030
ER,15507, 515,   8
EC, 349,16680,   0,17030
ER,16466, 555,   8
EC, 375,17655,   0,18030
ER,17425, 596,   8
EC, 412,18619,   0,19031
ER,18384, 638,   8
EC, 437,19594,   0,20031
ER,19341, 681,   8
EC, 462,20570,   0,21033
ER,20301, 723,   8
EC, 487,21545,   0,22032
ER,21260, 763,   8
EC, 512,22521,   0,23033
ER,22219, 805,   8
EC, 536,23498,   0,24035
ER,23181, 845,   8
EC, 562,24472,   0,25034
ER,24139, 886,   8
EC, 589,25446,   0,26035
ER,25096, 930,   8
EC, 613,26421,   0,27035
ER,26056, 970,   8
EC, 648,27387,   0,28036
ER,27017,1010,   8
EC, 680,28357,   0,29037
ER,27979,1049,   8
EC, 705,29331,   0,30037
ER,28937,1091,   8
EC, 730,30307,   0,31037
ER,29899,1130,   8
decrypt, 20531812,20531822
llego jejeje
encrypt, 20532060,20532068
n,56519,20532060,0,0,20532236
encrypt, 20532420,20532430
S,29527,20532418,0,0,20532600
encrypt, 20814348,20814360
S,29527,20814346,0,0,20814530
EC, 757,31280,   0,32038
ER,30857,1172,   8
encrypt, 21377052,21377064
S,29527,21377050,0,0,21377234
EC, 786,32252,   0,33038
ER,31816,1214,   8
EC, 811,33228,   0,34039
ER,32777,1254,   8
encrypt, 22501440,22501452
S,29527,22501438,0,0,22501620
EC, 849,34190,   0,35040
ER,33734,1297,   8
EC, 873,35167,   0,36040
ER,34695,1337,   8
EC, 897,36143,   0,37041
ER,35656,1376,   8
encrypt, 24750100,24750112
S,29527,24750098,0,0,24750282
EC, 923,37118,   0,38041
ER,36616,1416,   8
EC, 947,38094,   0,39042
ER,37577,1456,   8
EC, 972,39070,   0,40042
ER,38536,1498,   8
EC, 998,40044,   0,41043
ER,39495,1539,   8
EC,1024,41019,   0,42044
ER,40453,1582,   8
EC,1048,41995,   0,43044
ER,41413,1622,   8
EC,1073,42971,   0,44045
ER,42372,1664,   8
EC,1098,43947,   0,45045
ER,43332,1705,   8
EC,1123,44922,   0,46046
ER,44291,1746,   8
EC,1149,45897,   0,47046
ER,45248,1790,   8
EC,1174,46873,   0,48047
ER,46207,1831,   8
EC,1198,47848,   0,49047
ER,47166,1872,   8
EC,1223,48824,   0,50048
ER,48125,1914,   8
EC,1248,49800,   0,51048
ER,49086,1954,   8
EC,1273,50776,   0,52050
ER,50046,1994,   8
EC,1298,51751,   0,53050
ER,51003,2038,   8
EC,1324,52726,   0,54050
ER,51961,2080,   8
EC,1349,53701,   0,55051
ER,52920,2123,   8
EC,1373,54677,   0,56051
ER,53881,2161,   8
EC,1398,55653,   0,57052
ER,54842,2201,   8
EC,1422,56629,   0,58052
ER,55803,2241,   8
EC,1447,57605,   0,59053
ER,56763,2281,   8
