TT,07,27,21,12,23,01,573513
  12,   8
EC, 293,65763,   0,66057
ER,66036,  12,   8
encrypt, 43334704,43334722
S,48704,43334702,43334704,43334722,43334894
EC, 327,66729,   0,67057
ER,66982,  66,   8
EC, 331,67726,   0,68058
ER,67979,  70,   8
[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main   [INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  23, 998,   0,1021
ER,1011,   1,   8
decrypt, 841370,841388
encrypt, 841704,841722
htfin:841872
#,#decrypt, 847514,847532
encrypt, 847674,847686
p,24171,847672,847674,847686,847834
EC,  30,1991,   0,2022
ER,2009,   4,   8
EC,  33,2989,   0,3022
ER,3009,   4,   8
EC,  36,3987,   0,4023
ER,4009,   5,   8
EC,  38,4985,   0,5023
ER,5010,   5,   8
EC,  41,5983,   0,6024
ER,6010,   5,   8
EC,  44,6980,   0,7024
ER,7010,   5,   8
EC,  47,7978,   0,8025
ER,8011,   5,   8
EC,  49,8976,   0,9026
ER,9011,   5,   8
EC,  51,9974,   0,10026
ER,10012,   5,   8
EC,  54,10972,   0,11027
ER,11012,   5,   8
EC,  57,11970,   0,12027
ER,12012,   6,   8
EC,  59,12968,   0,13028
ER,13013,   6,   8
EC,  62,13966,   0,14028
ER,14013,   6,   8
EC,  64,14964,   0,15029
ER,15014,   6,   8
EC,  67,15962,   0,16029
ER,16014,   6,   8
EC,  70,16960,   0,17030
ER,17015,   6,   8
EC,  73,17958,   0,18031
ER,18016,   6,   8
EC,  75,18955,   0,19031
ER,19016,   6,   8
EC,  79,19952,   0,20032
ER,20017,   6,   8
EC,  82,20950,   0,21032
ER,21017,   6,   8
EC,  84,21948,   0,22033
ER,22018,   6,   8
EC,  87,22946,   0,23033
ER,23018,   7,   8
EC,  90,23944,   0,24034
ER,24019,   7,   8
EC,  92,24942,   0,25035
ER,25019,   7,   8
EC,  95,25940,   0,26035
ER,26019,   7,   8
EC,  97,26938,   0,27036
ER,27020,   7,   8
EC, 100,27935,   0,28036
ER,28020,   7,   8
EC, 103,28933,   0,29037
ER,29021,   7,   8
EC, 106,29931,   0,30037
ER,30021,   7,   8
EC, 109,30929,   0,31038
ER,31022,   7,   8
decrypt, 20513062,20513080
llego jejeje
encrypt, 20513318,20513330
n,24179,20513316,20513318,20513330,20513500
encrypt, 20513764,20513782
S,9938,20513762,20513764,20513782,20513952
encrypt, 20795756,20795774
S,9938,20795754,20795756,20795774,20795946
EC, 114,31924,   0,32038
ER,32021,   8,   8
encrypt, 21358422,21358440
S,9938,21358420,21358422,21358440,21358612
EC, 117,32921,   0,33039
ER,33022,   8,   8
EC, 120,33919,   0,34039
ER,34022,   9,   8
encrypt, 22483204,22483222
S,9938,22483202,22483204,22483222,22483394
EC, 123,34916,   0,35040
ER,35022,   9,   8
EC, 126,35914,   0,36041
ER,36023,   9,   8
EC, 128,36913,   0,37041
ER,37023,   9,   8
encrypt, 24732468,24732486
S,9938,24732466,24732468,24732486,24732658
EC, 131,37910,   0,38042
ER,38023,  10,   8
EC, 134,38908,   0,39042
ER,39024,  10,   8
EC, 136,39906,   0,40043
ER,40024,  10,   8
EC, 139,40904,   0,41043
ER,41025,  10,   8
EC, 142,41902,   0,42044
ER,42025,  10,   8
EC, 144,42900,   0,43044
ER,43025,  10,   8
EC, 146,43898,   0,44045
ER,44026,  10,   8
EC, 149,44896,   0,45046
ER,45027,  10,   8
EC, 152,45894,   0,46046
ER,46027,  10,   8
EC, 155,46891,   0,47047
ER,47027,  11,   8
EC, 157,47889,   0,48047
ER,48028,  11,   8
EC, 160,48887,   0,49048
ER,49028,  11,   8
EC, 162,49886,   0,50048
ER,50029,  11,   8
EC, 165,50883,   0,51049
ER,51029,  11,   8
EC, 168,51881,   0,52049
ER,52029,  11,   8
EC, 170,52880,   0,53050
ER,53030,  11,   8
EC, 172,53878,   0,54051
ER,54030,  11,   8
EC, 175,54876,   0,55051
ER,55031,  11,   8
EC, 177,55874,   0,56052
ER,56031,  11,   8
EC, 179,56872,   0,57052
ER,57032,  11,   8
EC, 182,57870,   0,58053
ER,58033,  11,   8
EC, 184,58869,   0,59053
ER,59033,  11,   8
