TT,07,29,21,03,31,28,457624
,   0,182121
ER,180796,1316,   8
llego jejeje
n,10461,119848310,119848320
S,39950,119848488,119848498
EC,2088,181032,   0,183121
ER,181795,1317,   8
S,39950,120122544,120122556
EC,2091,182031,   0,184122
ER,182796,1317,   8
S,39950,120670254,120670266
EC,2094,183028,   0,185123
ER,183796,1318,   8
S,39950,121766200,121766212
EC,2097,184026,   0,186123
ER,184796,1318,   8
EC,2099,185024,   0,187123
ER,185796,1318,   8
[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56581
[INFO: Main      ] Link-layer address: 0012.4b00.0a55.dd05
[INFO: Main[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Rouü[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56581
[INFO: Main      ] Link-layer address: 0012.4b00.0a55.dd05
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:a55:dd05
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  22, 999,   0,1021
ER,1013,   0,   8
EC,  24,1997,   0,2022
ER,2014,   0,   8
EC,  26,2995,   0,3022
ER,3013,   0,   8
A,28927,2554122,2554134
o,28928,2559344,2559356
o,32706,2568724,2568738
o,32707,2578970,2578984
o,32708,2589216,2589230
o,32709,2599462,2599476
o,32710,2609708,2609722
o,32711,2619958,2619972
o,32712,2630206,2630220
o,32713,2640454,2640466
EC,  33,3989,   0,4023
ER,4008,   6,   8
o,32714,2650700,2650714
o,32715,2660884,2660898
o,32716,2671130,2671144
o,32717,2681382,2681396
o,32718,2691626,2691640
o,32719,2701840,2701854
o,32720,2712086,2712100
o,32721,2722334,2722348
o,32722,2732580,2732594
o,32723,2742826,2742840
o,32724,2753042,2753056
o,32725,2763288,2763302
o,32726,2773538,2773552
o,32727,2783756,2783770
o,32728,2794002,2794016
o,32729,2804248,2804262
o,32730,2814498,2814510
o,32731,2824744,2824758
o,32732,2834990,2835004
o,32733,2845236,2845250
o,32734,2855482,2855496
o,32735,2865728,2865742
o,32736,2875974,2875988
o,32737,2886228,2886242
o,32738,2896474,2896488
o,32739,2906720,2906734
o,32740,2916966,2916980
o,32741,2927212,2927226
o,32742,2937356,2937370
o,32743,2947604,2947616
o,32744,2957846,2957860
o,32745,2968090,2968104
o,32746,2978454,2978468
o,32747,2988700,2988714
o,32748,2998946,2998960
o,32749,3009192,3009206
o,32750,3019444,3019458
o,32751,3029690,3029704
o,32752,3039936,3039950
o,32753,3050182,3050196
o,32754,3060428,3060442
o,32755,3070476,3070490
o,32756,3080726,3080738
o,32757,3090972,3090986
o,32758,3101218,3101232
o,32759,3111464,3111478
o,32760,3121710,3121724
o,32761,3131956,3131970
o,32762,3142202,3142216
o,32763,3152454,3152468
o,32764,3162700,3162714
o,32765,3172946,3172960
o,32766,3183442,3183456
,32767,3193360,3193374
o,32768,3203604,3203618
o,32769,3213854,3213866
o,32770,3224096,3224110
o,32771,3234342,3234356
o,32772,3244556,3244570
o,32773,3254800,3254814
o,32774,3265046,3265060
o,32775,3275294,3275308
o,32776,3285548,3285562
o,32777,3295758,3295770
EC,  61,4962,   0,5023
ER,4984,  31,   8
o,32778,3306002,3306016
o,32779,3316248,3316262
o,32780,3326494,3326508
o,32781,3336740,3336754
o,32782,3346990,3347002
o,32783,3357236,3357250
o,32784,3367482,3367496
o,32785,3377676,3377690
o,32786,3387926,3387940
