TT,07,29,21,02,59,58,420221
ing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: [INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  23, 998,   0,1022
ER,1013,   0,   8
EC,  25,1996,   0,2022
ER,2013,   0,   8
p,10423,1874860,1874872
EC,  29,2993,   0,3022
ER,3012,   2,   8
EC,  35,3987,   0,4023
ER,4012,   2,   8
EC,  39,4984,   0,5023
ER,5012,   3,   8
EC,  43,5980,   0,6024
ER,6013,   3,   8
EC,  50,6974,   0,7025
ER,7013,   3,   8
EC,  56,7968,   0,8025
ER,8013,   3,   8
EC,  60,8965,   0,9026
ER,9014,   3,   8
EC,  66,9960,   0,10026
ER,10014,   3,   8
EC,  72,10954,   0,11027
ER,11015,   3,   8
EC,  78,11949,   0,12028
ER,12016,   3,   8
EC,  82,12945,   0,13028
ER,13016,   3,   8
EC,  87,13941,   0,14028
ER,14017,   3,   8
EC,  92,14936,   0,15029
ER,15017,   3,   8
EC,  98,15931,   0,16030
ER,16017,   4,   8
EC, 109,16920,   0,17030
ER,17018,   4,   8
EC, 116,17914,   0,18031
ER,18018,   4,   8
EC, 121,18910,   0,19031
ER,19019,   4,   8
EC, 125,19906,   0,20032
ER,20019,   4,   8
EC, 133,20898,   0,21032
ER,21019,   4,   8
EC, 144,21889,   0,22033
ER,22020,   4,   8
EC, 153,22880,   0,23033
ER,23021,   4,   8
EC, 160,23873,   0,24034
ER,24021,   4,   8
EC, 165,24869,   0,25035
ER,25021,   4,   8
EC, 174,25861,   0,26035
ER,26022,   4,   8
EC, 182,26853,   0,27036
ER,27022,   4,   8
EC, 189,27846,   0,28036
ER,28023,   5,   8
EC, 200,28837,   0,29037
ER,29023,   5,   8
EC, 205,29832,   0,30037
ER,30024,   5,   8
EC, 210,30827,   0,31038
ER,31024,   5,   8
EC, 214,31824,   0,32038
ER,32025,   5,   8
