TT,07,29,21,02,28,28,473869
in      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56377
[INFO: Main      ] Link-layer address: 0012.4â[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56377
[INFO: Main      ] Link-layer address: 0012.4b00.1204.dc39
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:dc39
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  29, 992,   0,1021
ER,1013,   0,   8
t,51083,1118206,1118218
EC,  39,1982,   0,2022
ER,2011,   2,   8
EC,  49,2972,   0,3022
ER,3010,   3,   8
EC, 105,3918,   0,4023
ER,3951,  63,   8
EC, 166,4857,   0,5023
ER,4886, 129,   8
EC, 231,5793,   0,6024
ER,5817, 198,   8
EC, 290,6734,   0,7024
ER,6758, 257,   8
EC, 345,7680,   0,8025
ER,7701, 316,   8
EC, 391,8634,   0,9026
ER,8651, 366,   8
EC, 447,9578,   0,10026
ER,9590, 427,   8
EC, 490,10536,   0,11027
ER,10546, 472,   8
EC, 556,11471,   0,12028
ER,11479, 540,   8
EC, 626,12401,   0,13028
ER,12400, 619,   8
EC, 677,13351,   0,14029
ER,13347, 673,   8
EC, 734,14294,   0,15029
ER,14287, 733,   8
EC, 795,15234,   0,16029
ER,15222, 799,   8
EC, 832,16198,   0,17030
ER,16187, 835,   8
EC, 899,17132,   0,18031
ER,17119, 903,   8
EC, 954,18076,   0,19031
ER,18061, 961,   8
EC,1011,19020,   0,20031
ER,19001,1022,   8
EC,1064,19967,   0,21032
ER,19944,1079,   8
EC,1120,20912,   0,22032
ER,20887,1137,   8
EC,1190,21842,   0,23033
ER,21819,1205,   8
EC,1256,22777,   0,24034
ER,22749,1276,   8
EC,1314,23720,   0,25035
ER,23688,1338,   8
EC,1365,24669,   0,26035
ER,24636,1390,   8
EC,1410,25625,   0,27035
ER,25591,1436,   8
EC,1483,26552,   0,28036
ER,26516,1511,   8
EC,1553,27483,   0,29036
ER,27442,1586,   8
EC,1609,28428,   0,30038
ER,28384,1645,   8
EC,1670,29367,   0,31037
ER,29320,1708,   8
EC,1724,30313,   0,32038
ER,30266,1763,   8
EC,1784,31254,   0,33039
ER,31203,1827,   8
EC,1844,32195,   0,34040
ER,32138,1893,   8
EC,1912,33127,   0,35040
ER,33067,1964,   8
EC,1963,34076,   0,36040
ER,34015,2017,   8
EC,2026,35014,   0,37041
ER,34948,2084,   8
EC,2079,35962,   0,38041
ER,35891,2142,   8
EC,2136,36905,   0,39042
ER,36831,2202,   8
EC,2191,37851,   0,40043
ER,37771,2263,   8
EC,2231,38811,   0,41043
ER,38732,2302,   8
EC,2295,39749,   0,42044
ER,39667,2368,   8
EC,2364,40679,   0,43044
ER,40595,2441,   8
EC,2438,41607,   0,44045
ER,41516,2520,   8
EC,2494,42551,   0,45046
ER,42459,2578,   8
EC,2560,43486,   0,46046
ER,43392,2646,   8
EC,2627,44419,   0,47046
ER,44320,2717,   8
EC,2691,45355,   0,48047
ER,45251,2787,   8
EC,2749,46299,   0,49048
ER,46192,2848,   8
EC,2815,47232,   0,50048
ER,47119,2920,   8
EC,2898,48150,   0,51048
ER,48036,3004,   8
EC,2967,49082,   0,52049
ER,48966,3075,   8
EC,3023,50026,   0,53050
ER,49909,3132,   8
EC,3078,50972,   0,54050
ER,50852,3190,   8
EC,3141,51910,   0,55051
ER,51787,3255,   8
EC,3217,52834,   0,56051
ER,52708,3334,   8
EC,3282,53769,   0,57052
ER,53643,3400,   8
EC,3352,54700,   0,58052
ER,54567,3476,   8
EC,3401,55652,   0,59053
ER,55517,3527,   8
EC,3472,56581,   0,60054
ER,56445,3600,   8
EC,3542,57511,   0,61054
ER,57373,3673,   8
EC,3613,58442,   0,62055
ER,58303,3743,   8
EC,3677,59378,   0,63056
ER,59239,3808,   8
EC,3740,60315,   0,64056
ER,60176,3871,   8
EC,3790,61266,   0,65056
ER,61127,3920,   8
EC,3847,62210,   0,66057
ER,62071,3977,   8
EC,3916,63141,   0,67057
ER,62997,4052,   8
EC,3966,64092,   0,68058
ER,63947,4102,   8
EC,4018,65040,   0,69059
ER,64893,4157,   8
EC,4088,65971,   0,70059
ER,65823,4227,   8
EC,4139,66921,   0,71060
ER,66773,4279,   8
EC,4183,67876,   0,72060
ER,67729,4322,   8
EC,4242,68818,   0,73061
ER,68671,4380,   8
EC,4277,69784,   0,74061
ER,69641,4412,   8
EC,4295,70766,   0,75062
ER,70630,4423,   8
EC,4303,71759,   0,76063
ER,71631,4423,   8
EC,4312,72751,   0,77063
ER,72631,4423,   8
EC,4320,73743,   0,78064
ER,73632,4423,   8
EC,4329,74735,   0,79064
ER,74632,4423,   8
EC,4338,75726,   0,80064
ER,75632,4424,   8
EC,4346,76719,   0,81065
ER,76633,4424,   8
EC,4355,77710,   0,82066
ER,77633,4424,   8
EC,4363,78703,   0,83067
ER,78634,4424,   8
EC,4372,79695,   0,84067
ER,79634,4424,   8
EC,4380,80687,   0,85068
ER,80635,4424,   8
EC,4389,81678,   0,86068
ER,81635,4425,   8
EC,4397,82671,   0,87069
ER,82635,4425,   8
EC,4406,83663,   0,88069
ER,83636,4425,   8
EC,4414,84655,   0,89070
ER,84637,4425,   8
EC,4423,85647,   0,90070
ER,85637,4425,   8
EC,4431,86639,   0,91071
ER,86638,4425,   8
EC,4440,87631,   0,92071
ER,87637,4425,   8
EC,4449,88623,   0,93072
ER,88638,4425,   8
EC,4458,89614,   0,94073
ER,89637,4426,   8
EC,4466,90606,   0,95073
ER,90638,4427,   8
EC,4475,91598,   0,96073
ER,91637,4427,   8
EC,4484,92590,   0,97074
ER,92638,4427,   8
EC,4492,93581,   0,98074
ER,93638,4428,   8
EC,4501,94574,   0,99075
ER,94639,4428,   8
EC,4510,95565,   0,100076
ER,95639,4428,   8
