773,19594348,19594358
o,31774,19595890,19595900
o,31775,19597430,19597440
o,31776,19598972,19598982
o,31777,19600512,19600524
o,31778,19601932,19601942
o,31779,19603468,19603478
o,31780,19605008,19605018
o,31781,19606550,19606560
o,31782,19608090,19608100
o,31783,19609630,19609640
o,31784,19611172,19611182
o,31785,19612712,19612722
o,31786,19614254,19614264
o,31787,19615794,19615804
o,31788,19617336,19617346
o,31789,19618876,19618888
o,31790,19620416,19620428
o,31791,19621956,19621966
o,31792,19623498,19623508
o,31793,19624974,19624986
o,31794,19626838,19626850
o,31795,19628044,19628054
o,31796,19629584,19629596
o,31797,19631116,19631126
o,31798,19632656,19632666
o,31799,19634198,19634208
o,31800,19635738,19635748
o,31801,19637280,19637290
o,31802,1[INFO: Main      ] Starting Contiki-NG-release/v4.6-69-g3607926aa-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56581
[INFO: Main      ] Link-layer address: 0012.4b00.0a55.dd05
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:a55:dd05
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  23, 998,   0,1021
ER,1012,   0,   8
o,29814,1055938,1055950
o,29815,1057844,1057856
o,19752,1064682,1064694
o,19753,1071116,1071128
o,19754,1077778,1077790
o,19755,1084442,1084454
o,19756,1091102,1091114
o,19757,1097764,1097776
o,19758,1104426,1104438
o,19759,1111088,1111100
o,19760,1117750,1117762
o,19761,1124412,1124424
o,19762,1131074,1131086
o,19763,1137736,1137748
o,19764,1144398,1144410
o,19765,1151062,1151074
o,19766,1157722,1157734
o,19767,1164384,1164396
o,19768,1171046,1171058
o,19769,1177708,1177720
o,19770,1184370,1184382
o,19771,1191032,1191044
o,19772,1197696,1197708
o,19773,1204358,1204370
o,19774,1211020,1211032
o,19775,1217684,1217696
o,19776,1224344,1224356
o,19777,1230860,1230872
o,19778,1237522,1237534
o,19779,1244182,1244194
o,19780,1250844,1250856
o,19781,1257506,1257520
o,19782,1264170,1264182
o,19783,1270832,1270844
o,19784,1277494,1277506
o,19785,1284158,1284170
o,19786,1290818,1290830
o,19787,1297478,1297490
o,19788,1304140,1304152
o,19789,1310802,1310814
o,19790,1317466,1317478
o,19791,1324130,1324142
EC,  42,1979,   0,2022
ER,2000,  13,   8
o,19792,1331310,1331322
o,19793,1337972,1337984
o,19794,1344524,1344536
o,19795,1351188,1351200
o,19796,1357848,1357860
o,19797,1364510,1364522
o,19798,1371172,1371184
o,19799,1377834,1377846
o,19800,1384496,1384508
o,19801,1391158,1391170
o,19802,1397820,1397832
o,19803,1404482,1404494
o,19804,1411142,1411154
o,19805,1417806,1417818
o,19806,1424464,1424476
o,19807,1431126,1431138
o,19808,1437788,1437800
o,19809,1444450,1444462
o,19810,1451112,1451124
o,19811,1457774,1457786
o,19812,1464334,1464346
o,19813,1470996,1471008
o,19814,1477658,1477670
o,19815,1484322,1484334
o,19816,1490982,1490994
o,19817,1497644,1497656
o,19818,1504306,1504318
o,19819,1510968,1510980
o,19820,1517630,1517642
o,19821,1524292,1524304
o,19822,1530954,1530966
o,19823,1537616,1537628
o,19824,1544278,1544290
o,19825,1550942,1550954
o,19826,1557602,1557614
o,19827,1564264,1564276
o,19828,1570926,1570938
o,19829,1577588,1577600
o,19830,1584250,1584262
o,19831,1590912,1590924
o,19832,1597730,1597742
o,19833,1604114,1604126
o,19834,1610776,1610790
