185,19654212,19654224
o,49186,19660874,19660886
o,49187,19667538,19667550
o,49188,19674202,19674214
EC,1156,28881,   0,30037
ER,29226, 803,   8
o,49189,19681382,19681394
a,49190,19687948,19687960
o,49191,19694608,19694620
o,49192,19701270,19701282
o,49193,19707932,19707944
o,49194,19714594,19714606
o,49195,19721256,19721268
o,49196,19728608,19728620
o,49197,19735270,19735282
o,49198,19741708,19741720
o,49199,19748888,19748900
o,49200,19755550,19755562
o,49201,19762212,19762224
o,49202,19768874,19768886
o,49203,19775536,19775548
o,49204,19782196,19782208
o,49205,19788858,19788870
o,49206,19795520,19795532
o,49207,19802180,19802192
o,49208,19808842,19808854
o,49209,19816022,19816034
o,49210,19822684,19822696
o,49211,19829346,19829358
o,49212,19836008,[INFO: Main      ] Starting Contiki-NG-release/v4.6-69-g3607926aa-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56581
[INFO: Main      ] Link-layer address: 0012.4b00.0a55.dd05
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:a55:dd05
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  23, 998,   0,1021
ER,1012,   0,   8
EC,  25,1996,   0,2022
ER,2012,   1,   8
o,5419,1453598,1453610
o,5420,1458194,1458208
o,35339,1462978,1462992
o,35340,1473224,1473238
o,35341,1483472,1483484
o,35342,1493716,1493730
o,35343,1503962,1503976
o,35344,1514208,1514222
o,35345,1524236,1524250
o,35346,1534482,1534496
o,35347,1544726,1544740
o,35348,1554978,1554992
o,35349,1565224,1565238
o,35350,1575468,1575482
o,35351,1585714,1585728
o,35352,1595960,1595974
o,35353,1606206,1606220
o,35354,1616456,1616468
o,35355,1626700,1626714
o,35356,1636946,1636960
o,35357,1647192,1647206
o,35358,1657356,1657370
o,35359,1667604,1667618
o,35360,1677854,1677868
o,35361,1688104,1688118
o,35362,1698348,1698362
o,35363,1708594,1708608
o,35364,1718840,1718854
o,35365,1729086,1729100
o,35366,1739332,1739346
o,35367,1749582,1749594
o,35368,1759826,1759840
o,35369,1769996,1770010
o,35370,1780242,1780256
o,35371,1790488,1790502
o,35372,1800736,1800750
o,35373,1810982,1810996
o,35374,1821234,1821248
o,35375,1831480,1831494
o,35376,1841726,1841740
o,35377,1851972,1851986
o,35378,1862218,1862232
o,35379,1872466,1872480
o,35380,1882716,1882728
o,35381,1892960,1892974
o,35382,1903126,1903140
o,35383,1913372,1913386
o,35384,1923618,1923632
o,35385,1933862,1933876
o,35386,1944108,1944122
o,35387,1954360,1954374
o,35388,1964606,1964620
o,35389,1974854,1974868
o,35390,1985038,1985050
EC,  47,2975,   0,3022
ER,2995,  19,   8
o,35391,1995282,1995296
o,35392,2005528,2005542
o,35393,2015778,2015790
o,35394,2026022,2026036
o,35395,2036268,2036282
o,35396,2046512,2046526
o,35397,2056758,2056772
o,35398,2067004,2067018
o,35399,2077252,2077266
o,35400,2087502,2087516
o,35401,2097678,2097692
o,35402,2107924,2107938
o,35403,2118170,2118184
o,35404,2128420,2128434
o,35405,2138666,2138680
o,35406,2148916,2148928
o,35407,2159160,2159174
o,35408,2169406,2169420
o,35409,2179652,2179666
o,35410,2189898,2189912
o,35411,2200144,2200158
o,35412,2210390,2210404
o,35413,2220642,2220656
o,35414,2230888,2230902
o,35415,2241134,2241148
o,35416,2251380,2251394
o,35417,2261628,2261642
o,35418,2271874,2271888
o,35419,2282126,2282138
o,35420,2292370,2292384
o,35421,2302616,2302630
o,35422,2312862,2312876
o,35423,2323108,2323122
o,35424,2333196,2333210
o,35425,2343444,2343458
o,35426,2353696,2353710
o,35427,2363942,2363956
o,35428,2374186,2374200
o,35429,2384432,2384446
o,35430,2394678,2394692
o,35431,2404922,2404936
o,35432,2415172,2415184
o,35433,2425416,2425430
o,35434,2435596,2435610
o,35435,2445842,2445856
o,35436,2456088,2456102
o,35437,2466334,2466348
